Id,Label,timeset,frequency,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality
Asadafghan313,Asadafghan313,,1,Mentions,1,1,6,0.300709,0.313907,0,2,0,0,0,0.013709
Alkanz,Alkanz,,2,Mentions,1,2,6,0.310938,0.332784,0,15,0,0,0,0.03032
adamks_,adamks_,,8,Mentions,1,8,6,0.310938,0.332784,0,15,0,0,0,0.03032
abdullahawez,abdullahawez,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
PRINCESSBAQIYA2,PRINCESSBAQIYA2,,2,Mentions,1,2,7,0.25697,0.264894,0,24,0,0,0,0.003083
Lex65242605,Lex65242605,,1,Mentions,1,1,6,0.252249,0.259283,0,0,0,0,0,0.003166
macroarch,macroarch,,1,Mentions,1,1,8,0.210349,0.21732,0,5,0,0,0,0.000799
Libyen_Insider,Libyen_Insider,,1,Mentions,1,1,6,0.300463,0.310562,0,2,0,0,0,0.008072
ggmm1g,ggmm1g,,5,Mentions,1,5,6,0.278395,0.288496,0,13,0,0,0,0.004654
michaelh992,michaelh992,,19,Mentions,7,19,6,0.339908,0.368515,0.000472,0,0,0.428571,9,0.079399
Slamiste68,Slamiste68,,1,Mentions,1,1,7,0.260551,0.269194,0,8,0,0,0,0.003599
_Muslimah_007,_Muslimah_007,,1,Mentions,1,1,7,0.245748,0.251279,0,12,0,0,0,0.001072
BenMoha58289495,BenMoha58289495,,1,Mentions,1,1,6,0.299159,0.314516,0,18,0,0,0,0.016566
BrunFree,BrunFree,,31,Mentions,11,31,6,0.365797,0.390737,0.000543,0,0,0.363636,20,0.100806
iranianaffairs,iranianaffairs,,1,Mentions,1,1,7,0.271541,0.282094,0,18,0,0,0,0.005804
elizondogabriel,elizondogabriel,,1,Mentions,1,1,7,0.260551,0.269194,0,8,0,0,0,0.003599
YemenPostNews,YemenPostNews,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
StickGetsItDone,StickGetsItDone,,2,Mentions,1,2,6,0.310938,0.332784,0,15,0,0,0,0.03032
Avuxeni_,Avuxeni_,,1,Mentions,1,1,7,0.238504,0.244721,0,19,0,0,0,0.002071
Mohammedel76,Mohammedel76,,1,Mentions,1,1,6,0.300709,0.313907,0,2,0,0,0,0.013709
Jazrawi_Joulan,Jazrawi_Joulan,,38,Mentions; User,19,38,6,0.348206,0.373643,0.004404,16,0,0.146199,25,0.088388
AsgharBukhari,AsgharBukhari,,1,Mentions,1,1,7,0.246536,0.253445,0,4,0,0,0,0.002023
northentier,northentier,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
miladvisor,miladvisor,,3,Mentions,3,3,6,0.305456,0.316591,0.000071,18,0,0,0,0.013631
MaghrebiEng,MaghrebiEng,,19,Mentions,5,19,6,0.351013,0.377748,0.000872,0,0,0.3,3,0.07241
wbmonitor,wbmonitor,,1,Mentions,1,1,6,0.300709,0.313907,0,2,0,0,0,0.013709
Arab_News,Arab_News,,2,Mentions,1,2,7,0.271541,0.282094,0,18,0,0,0,0.005804
Marwan____Tunsi,Marwan____Tunsi,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
Mohammed_Aloush,Mohammed_Aloush,,2,Mentions,1,2,6,0.319896,0.332971,0,0,0,0,0,0.017014
Rudawkurdish,Rudawkurdish,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
BeeManbee10,BeeManbee10,,1,Mentions,1,1,7,0.250663,0.258034,0,8,0,0,0,0.001727
Drmozamjera,Drmozamjera,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
UNHCR,UNHCR,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
Pasha_al_Iraqi,Pasha_al_Iraqi,,4,Mentions,1,4,7,0.256631,0.264869,0,18,0,0,0,0.002979
1OneTawheed,1OneTawheed,,3,Mentions,2,3,6,0.273833,0.284834,0.000031,10,0,0,0,0.008413
wayff44rer,wayff44rer,,8,Mentions; User,6,8,7,0.268915,0.279803,0.000031,3,0,0.066667,1,0.006595
MaghrebiWS1,MaghrebiWS1,,10,Mentions,6,10,6,0.339315,0.368903,0.003358,0,0,0.266667,4,0.067556
abuchair1,abuchair1,,1,Mentions,1,1,7,0.246536,0.253445,0,4,0,0,0,0.002023
MaghrebiWS2,MaghrebiWS2,,3,Mentions,2,3,6,0.29395,0.309786,0.000072,3,0,0,0,0.016214
LANURSE1,LANURSE1,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
sakirkhader,sakirkhader,,11,Mentions,8,11,6,0.343044,0.373743,0.003831,0,0,0.178571,5,0.075441
ibnjabal740,ibnjabal740,,1,Mentions,1,1,7,0.260142,0.270372,0,13,0,0,0,0.003182
MaghrebiWS4,MaghrebiWS4,,2,Mentions,1,2,6,0.310938,0.332784,0,15,0,0,0,0.03032
abumuhammad1437,abumuhammad1437,,2,Mentions,1,2,6,0.299159,0.314516,0,18,0,0,0,0.016566
Jazrawi_Shadadi,Jazrawi_Shadadi,,3,Mentions,2,3,7,0.243739,0.249975,0.001095,0,0,0,0,0.001444
The_Muwahhid,The_Muwahhid,,9,Mentions,3,9,6,0.294186,0.306815,0.000577,4,0,0,0,0.011933
RandaHabib,RandaHabib,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
jsiwat,jsiwat,,7,Mentions,2,7,6,0.302357,0.317981,0.000321,4,0,0,0,0.018589
DriftOne035,DriftOne035,,2,Mentions,1,2,6,0.255068,0.263232,0,8,0,0,0,0.002929
FranceTn,FranceTn,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
fafadelaforet,fafadelaforet,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
ispionline,ispionline,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
Mujahid_Deen6,Mujahid_Deen6,,1,Mentions,1,1,7,0.238504,0.244721,0,19,0,0,0,0.002071
AbuNaseeha_2,AbuNaseeha_2,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
Prswitness,Prswitness,,9,Mentions,3,9,6,0.313056,0.332674,0.000023,18,0,0.333333,1,0.034675
BBassem7,BBassem7,,2,Mentions,2,2,6,0.296718,0.313599,0.000631,19,0,0,0,0.018428
moheb_shalati,moheb_shalati,,3,Mentions,1,3,6,0.281665,0.292787,0,8,0,0,0,0.006131
UmmUbaydullah17,UmmUbaydullah17,,1,Mentions,1,1,7,0.25697,0.265584,0,8,0,0,0,0.003779
LibyaAlHurraTV,LibyaAlHurraTV,,1,Mentions,1,1,8,0.209245,0.215804,0,6,0,0,0,0.000599
Hm647,Hm647,,1,Mentions,1,1,6,0.26707,0.27667,0,13,0,0,0,0.006184
AbuHaleema28,AbuHaleema28,,1,Mentions,1,1,7,0.245621,0.252453,0,5,0,0,0,0.001789
intifada,intifada,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
arisroussinos,arisroussinos,,2,Mentions,2,2,6,0.304724,0.318329,0.00004,21,0,0,0,0.01703
amaat_allah_112,amaat_allah_112,,1,Mentions,1,1,8,0.209245,0.215804,0,6,0,0,0,0.000599
aaai1959,aaai1959,,1,Mentions,1,1,8,0.209842,0.217108,0,12,0,0,0,0.001182
lmgaveriaux,lmgaveriaux,,3,Mentions,1,3,6,0.310938,0.332784,0,15,0,0,0,0.03032
khawarijcrucifi,khawarijcrucifi,,2,Mentions,1,2,7,0.246536,0.253445,0,4,0,0,0,0.002023
islamic_t4t,islamic_t4t,,2,Mentions,1,2,7,0.259631,0.26849,0,11,0,0,0,0.003557
schloren,schloren,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
