Source,Target,Type,Id,Label,timeset,Weight
NBCNews,MaghrabiArabi,Undirected,205,,,1
_Qareeban,06230550_IS,Undirected,206,,,1
RamiAlLolah,Mohammed_Aloush,Undirected,207,,,2
x_need1,IbnKashmir_,Undirected,208,,,1
YousefNat,MaghrebiQM,Undirected,209,,,1
infosensible57,MaghrabiArabi,Undirected,210,,,2
WarReporter1,ColkesenM,Undirected,211,,,1
CNN,Alwala_bara,Undirected,212,,,1
ambrablu,AbuMusab_110,Undirected,213,,,10
mobi_ayubi,LibyasChannel,Undirected,214,,,1
CXaafada2,BintSannd,Undirected,215,,,1
RomainCaillet,MaghrebiQM,Undirected,216,,,2
alamreeki4,MiddleEastEye,Undirected,217,,,1
warreporter2,MaghrebiMWs,Undirected,218,,,2
Battar_English,BatInfo147,Undirected,219,,,15
vvanwilgenburg,Nidalgazaui,Undirected,220,,,1
ks48a174031,_Muslimah_007,Undirected,221,,,1
speroni_f,Uncle_SamCoco,Undirected,222,,,1
Abu_Azzzam25,AJEnglish,Undirected,223,,,1
abuhumayra4,Bint_Gharib99,Undirected,224,,,1
ilyas9510,MilkSheikh2,Undirected,225,,,1
warrnews,islamarmy05,Undirected,226,,,1
QassamiMarwan,Jazrawi_CusCous,Undirected,227,,,3
Uncle_SamCoco,AdamHasakah79,Undirected,228,,,1
realDonaldTrump,ismailmahsud,Undirected,229,,,1
miladvisor,MaghrebiQ,Undirected,230,,,1
warrnews,samzmer,Undirected,231,,,2
ImtiyazAzhar,IbnKashmir_,Undirected,232,,,2
abutariq041,AnakSabil_,Undirected,233,,,2
abhalmal_19,Uncle_SamCoco,Undirected,234,,,1
qawafilshuhada4,Abu_Azzzam25,Undirected,235,,,1
Uncle_SamCoco,AmnestyOnline,Undirected,236,,,1
_IshfaqAhmad,AkhOneTeabagpls,Undirected,237,,,1
bintpaladin,IbnKashmir_,Undirected,238,,,1
st3erer,PrinceOfFreakz,Undirected,239,,,3
wayff44rer,muktarbelmuktar,Undirected,240,,,1
warreporter2,khalidi4sham3,Undirected,241,,,2
Uncle_SamCoco,PhMarliere,Undirected,242,,,1
ks48a174031,TRACterrorism,Undirected,243,,,1
lasnahuna,Jazrawi_Saraqib,Undirected,244,,,2
UmmLina96,Suspend_Me_fags,Undirected,245,,,1
abotalut4,RamiAlLolah,Undirected,246,,,2
abubakerdimshqi,MousaAlomar,Undirected,247,,,1
timosmanhaha,WarReporter1,Undirected,248,,,1
siteintelgroup,WarReporter1,Undirected,249,,,1
wilayah_tw,Alwala_bara,Undirected,250,,,4
sakirkhader,abdlrhmn15,Undirected,251,,,1
MediaRootsNews,MaghrabiArabi,Undirected,252,,,1
Uncle_SamCoco,2lejit2kwik,Undirected,253,,,1
ottomanakh,_IshfaqAhmad,Undirected,254,,,5
Uncle_SamCoco,DailyMail,Undirected,255,,,1
mobi_ayubi,UmmRebel,Undirected,256,,,1
st3erer,Adamhasak46,Undirected,257,,,1
twdwln,st3erer,Undirected,258,,,2
Uncle_SamCoco,LouisWitter,Undirected,259,,,1
MhzBnt,AFP,Undirected,260,,,1
bnt_mhz,abuayisha102,Undirected,261,,,1
ayibeebee,IbnKashmir_,Undirected,262,,,1
abutariq040,ImranIbnFareed4,Undirected,263,,,5
boibraheem,RamiAlLolah,Undirected,264,,,1
sparksofirhabi4,abuhumayra4,Undirected,265,,,2
Uncle_SamCoco,MalcolmiteI,Undirected,266,,,1
wayf44rerr,F4Sham,Undirected,267,,,1
Terror_Monitor,MaghrebiQM,Undirected,268,,,1
warrnews,CedricMas,Undirected,269,,,1
WarReporter1,JettGoldsmith,Undirected,270,,,1
sardesairajdeep,_IshfaqAhmad,Undirected,271,,,1
NoCommiesPlease,MaghrabiArabi,Undirected,272,,,1
AsimAbuMerjem,AmericanJewry,Undirected,273,,,1
Witness_alHaqq,WarReporter1,Undirected,274,,,8
IbnKashmir_,AEJKhalil,Undirected,275,,,1
jujl_gatame,Uncle_SamCoco,Undirected,276,,,2
mobi_ayubi,ResoluteSupport,Undirected,277,,,2
PegELakeOzark,MaghrabiArabi,Undirected,278,,,3
melvynlion,jailamx,Undirected,279,,,17
bent_mhr,alamreeki4,Undirected,280,,,1
GreekAnalyst,AsimAbuMerjem,Undirected,281,,,1
